Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,111.2,-150.8,0,top
C2,10uF,C_1210_3225Metric,99.95,-100.05,-90,top
C3,100nF,C_0402_1005Metric,102.25,-98.67,-90,top
C4,33nF,C_0603_1608Metric,107.95,-98.05,0,top
C5,100nF,C_0402_1005Metric,106.9,-99.9,-90,top
C6,10pF,C_0402_1005Metric,109.45,-95.85,-90,top
C7,47uF,C_1206_3216Metric,105.35,-121.65,180,top
C8,47uF,C_1206_3216Metric,105.35,-119.15,180,top
C9,47uF,C_1206_3216Metric,105.3,-116.55,180,top
C10,10uF,C_1210_3225Metric,110.118971,-129.8,-90,top
C11,1uF,C_0603_1608Metric,65.31,-123.9,180,top
C12,100nF,C_0402_1005Metric,65.86,-122.2,180,top
C13,2.2nF,C_0603_1608Metric,62.51,-121.85,180,top
C14,8.2nF,C_0603_1608Metric,62.8125,-116.6,180,top
C15,100nF,C_0402_1005Metric,79.35,-114.03,-90,top
C16,10uF,C_1210_3225Metric,63.9,-113.3,180,top
C19,4.7uF,C_1206_3216Metric,67.8,-141.25,0,top
C20,4.7uF,C_1206_3216Metric,67.8,-143.7,0,top
C21,100nF,C_0402_1005Metric,68.2,-145.75,0,top
C22,4.7uF,C_1206_3216Metric,75.62,-150,0,top
C23,1uF,C_0603_1608Metric,74.82,-153.3,0,top
C24,100nF,C_0402_1005Metric,64.64,-151.45,180,top
C25,100nF,C_0402_1005Metric,81.75,-128.6,180,top
C26,47uF,C_1206_3216Metric,81.4,-126.5,180,top
C27,47uF,C_1206_3216Metric,81.4,-123.85,180,top
C28,47uF,C_1206_3216Metric,81.4,-121.25,180,top
C29,47uF,C_1206_3216Metric,81.4,-118.65,180,top
C30,47uF,C_1206_3216Metric,89.35,-118.75,0,top
C31,47uF,C_1206_3216Metric,89.35,-121.25,0,top
C32,47uF,C_1206_3216Metric,89.35,-123.75,0,top
C33,47uF,C_1206_3216Metric,89.35,-126.25,0,top
C34,100nF,C_0402_1005Metric,100.05,-139.5,180,top
C35,100nF,C_0402_1005Metric,100.05,-140.55,180,top
C36,4.7uF,C_1206_3216Metric,99.95,-143.625,-90,top
C37,10uF,C_1210_3225Metric,190.95,-116.5035,90,top
C38,100nF,C_0402_1005Metric,190.9,-119.9535,0,top
C39,4.7uF,C_1206_3216Metric,163.433333,-131.883333,0,top
C40,15pF,C_0402_1005Metric,141.65,-121.55,-90,top
C41,2.2uF,C_0603_1608Metric,137.2,-136.2,-90,top
C42,15pF,C_0402_1005Metric,140.5,-121.55,90,top
C43,4.7uF,C_1206_3216Metric,163.441666,-134.433333,0,top
C44,100nF,C_0402_1005Metric,148.15,-129,180,top
C45,100nF,C_0402_1005Metric,134.75,-129.4,0,top
C46,100nF,C_0402_1005Metric,139.383333,-121.55,-90,top
C47,100nF,C_0402_1005Metric,141.7,-135.95,90,top
C48,100nF,C_0402_1005Metric,142.8,-121.55,-90,top
C49,100nF,C_0402_1005Metric,149.133333,-125.833333,180,top
C50,100nF,C_0402_1005Metric,143.75,-135.98,90,top
C51,100nF,C_0402_1005Metric,134.75,-134.1,0,top
C52,100nF,C_0402_1005Metric,135.333333,-124.633333,-90,top
C53,100nF,C_0402_1005Metric,134.75,-128.35,0,top
C54,100nF,C_0402_1005Metric,143.983333,-121.6,-90,top
C55,100nF,C_0402_1005Metric,148,-131.9,90,top
C56,100nF,C_0402_1005Metric,140.6,-135.95,90,top
C57,100nF,C_0402_1005Metric,152.483333,-119.883333,-90,top
