"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C3, C5, C12, C15, C21, C24, C25, C34, C35, C38, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C71";"C_0402_1005Metric";35;"100nF";;;
2;"C2, C10, C16, C37, C72";"C_1210_3225Metric";5;"10uF";;;
3;"C4";"C_0603_1608Metric";1;"33nF";;;
4;"C6";"C_0402_1005Metric";1;"10pF";;;
5;"C7, C8, C9, C26, C27, C28, C29, C30, C31, C32, C33, C73";"C_1206_3216Metric";12;"47uF";;;
6;"C11, C23, C68, C74";"C_0603_1608Metric";4;"1uF";;;
7;"C13";"C_0603_1608Metric";1;"2.2nF";;;
8;"C14";"C_0603_1608Metric";1;"8.2nF";;;
9;"C17";"CP_Radial_D8.0mm_P3.50mm";1;"220uF";;;
10;"C18";"CP_Radial_D8.0mm_P3.50mm";1;"150uF";;;
11;"C19, C20, C22, C36, C39, C43";"C_1206_3216Metric";6;"4.7uF";;;
12;"C40, C42";"C_0402_1005Metric";2;"15pF";;;
13;"C41, C67";"C_0603_1608Metric";2;"2.2uF";;;
14;"C69, C70";"C_0603_1608Metric";2;"330pF";;;
15;"JCONT1";"PinHeader_1x09_P2.54mm_Horizontal";1;"Conn_01x09_Pin";;;
16;"JDBG1, JDBG2";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
17;"JLED1, JLED2";"IDC-Header_2x08_P2.54mm_Vertical";2;"Conn_02x08_Counter_Clockwise";;;
18;"JPWR1";"CONN-TH_4P-P9.50_WJHB9500M-9.5-04P-13-00A";1;"Screw_Terminal_01x02";;;
19;"JSD1";"microSD_XUNPU_TF-115-BCP9";1;"Micro_SD_Card_Det1";;;
20;"JUSB1, JUSB2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";2;"USB_C_Receptacle_USB2.0_14P";;;
21;"L1";"L_Chilisin_BMRF00101040";1;"6.8uH";;;
22;"L2";"L_Cenker_CKST1707";1;"1uH";;;
23;"Q1";"DFN-8_L4.9-W6.0-P1.27-LS6.1-BL";1;"WSD40120DN56G";;;
24;"R1";"R_0603_1608Metric";1;"49.9k";;;
25;"R2, R3, R8, R20, R21";"R_0402_1005Metric";5;"10k";;;
26;"R4";"R_1206_3216Metric";1;"100";;;
27;"R5";"R_0805_2012Metric";1;"1.2k";;;
28;"R6";"R_0805_2012Metric";1;"470k";;;
29;"R7";"R_0805_2012Metric";1;"150k";;;
30;"R9";"R_0402_1005Metric";1;"3.3k";;;
31;"R10";"R_0603_1608Metric";1;"2.2";;;
32;"R12, R13, R18, R19";"R_0402_1005Metric";4;"22";;;
33;"R14";"R_0402_1005Metric";1;"10";;;
34;"R15, R17, R24, R25, R26, R27, R28, R29, R30, R32, R33, R34, R35, R36, R37, R38, R52";"R_0402_1005Metric";17;"1k";;;
35;"R16, R22, R23, R49, R50, R51";"R_0402_1005Metric";6;"33";;;
36;"R40, R41, R42, R43, R47";"R_0805_2012Metric";5;"10k";;;
37;"R44, R45";"R_0603_1608Metric";2;"5.1k";;;
38;"R46";"R_0603_1608Metric";1;"20k";;;
39;"R48";"R_0402_1005Metric";1;"200";;;
40;"SW1, SW2, SW3, SW5";"SW-SMD_MS-22D28-G020";4;"MS-22D28-G020";;;
41;"SW4";"SW_SPST_TS-1088-xR020";1;"TS-1088-AR02016";;;
42;"U1";"WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias";1;"TPD6S300A";;;
43;"U2";"SOT-583-8";1;"TPS62933";;;
44;"U3";"VQFN-10_L2.0-W2.0-P0.45-TL";1;"TPS259472A";;;
45;"U4";"TSOT-23-6";1;"LM5050-1";;;
46;"U5";"POWERPAK_MLP34-57_VIS";1;"SiC451";;;
47;"U6";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32G071CBUx";;;
48;"U7";"ESP32-C6-WROOM-1";1;"ESP32-C6-WROOM-1";;;
49;"U8";"SOT-23-5";1;"TLV74311";;;
50;"U9";"RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2354B";;;
51;"U10";"TSSOP-16_4.4x5mm_P0.65mm";1;"74VHC161";;;
52;"U11, U13";"TSOP-28_L11.8-W8.0-P0.55-LS13.4-L";2;"IS61LV256AL";;;
53;"U12, U14";"TSSOP-16_4.4x5mm_P0.65mm";2;"74AHCT595";;;
54;"U15, U16";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"74HCT245";;;
55;"U17, U18";"UQFN-10_1.4x1.8mm_P0.4mm";2;"TS3USB30ERSWR";;;
56;"U19";"SOT-223-3_TabPin2";1;"LD1117AG-33-AA3-A-R";;;
57;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
