Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C21, C24, C25, C3, C34, C35, C38, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C71",0402,35,100nF,C307331 
"C10, C16, C2, C37, C72",1206,5,10uF,C13585
"C11, C23, C68, C74",0603,4,1uF,C15849
C13,0603,1,2.2nF,C1604
C14,0603,1,8.2nF,C1322360
C17,CP_Radial_D8.0mm_P3.50mm,1,220uF,C106697
C18,CP_Radial_D8.0mm_P3.50mm,1,150uF,C106696
"C19, C20, C22, C36, C39, C43",1206,6,4.7uF,C29823 
"C26, C27, C28, C29, C30, C31, C32, C33, C7, C73, C8, C9",1206,12,47uF,C96123
C4,0603,1,33nF,C21117
"C40, C42",0402,2,15pF,C1548
"C41, C67",0603,2,2.2uF,C23630
C6,0402,1,10pF,C32949
"C69, C70",0603,2,330pF,C1664
JCONT1,PinHeader_1x09_P2.54mm_Horizontal,1,Conn_01x09_Pin,
"JDBG1, JDBG2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
"JLED1, JLED2",IDC-Header_2x08_P2.54mm_Vertical,2,Conn_02x08_Counter_Clockwise,
JPWR1,CONN-TH_4P-P9.50_WJHB9500M-9.5-04P-13-00A,1,Screw_Terminal_01x02,C255007
JSD1,microSD_XUNPU_TF-115-BCP9,1,Micro_SD_Card_Det1,C720505
"JUSB1, JUSB2",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_14P,C165948
L1,L_Chilisin_BMRF00101040,1,6.8uH,C7502775
L2,L_Cenker_CKST1707,1,1uH,C5292052
Q1,DFN-8_L4.9-W6.0-P1.27-LS6.1-BL,1,WSD40120DN56G,C507088
R1,0603,1,49.9k,C23184
R10,0603,1,2.2,C22939
"R12, R13, R18, R19",0402,4,22,C25092
R14,0402,1,10,C25077
"R15, R17, R24, R25, R26, R27, R28, R29, R30, R32, R33, R34, R35, R36, R37, R38, R52",0402,17,1k,C11702
"R16, R22, R23, R49, R50, R51",0402,6,33,C25105
"R2, R20, R21, R3, R8",0402,5,10k,C25744
R4,1206,1,100,C17901
"R40, R41, R42, R43, R47",0805,5,10k,C17414 
"R44, R45",0603,2,5.1k,C23186
R46,0603,1,20k,C4184
R48,0402,1,200,C25087
R5,0805,1,1.2k,C17379
R6,0805,1,470k,C17709
R7,0805,1,150k,C17470
R9,0402,1,3.3k,C25890
"SW1, SW2, SW3, SW5",SW-SMD_MS-22D17AG2.5,4,MS-22D28-G020,C20611671
SW4,SW_SPST_TS-1088-xR020,1,TS-1088-AR02016,C720477
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,TPD6S300A,C2876380 
U10,TSSOP-16_4.4x5mm_P0.65mm,1,74VHC161,C7421276
"U11, U13",TSOP-28_L11.8-W8.0-P0.55-LS13.4-L,2,IS61LV256AL,C412837
"U12, U14",TSSOP-16_4.4x5mm_P0.65mm,2,74AHCT595,C460504
"U15, U16",TSSOP-20_4.4x6.5mm_P0.65mm,2,74HCT245,C5980
"U17, U18",UQFN-10_1.4x1.8mm_P0.4mm,2,TS3USB30ERSWR,C73880 
U19,SOT-223-3_TabPin2,1,LD1117AG-33-AA3-A-R,C71121
U2,SOT-583-8,1,TPS62933,C3200405
U3,VQFN-10_L2.0-W2.0-P0.45-TL,1,TPS259472A,C3662789
U4,TSOT-23-6,1,LM5050-1,C473393
U5,POWERPAK_MLP34-57_VIS,1,SiC451,C1852144
U6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G071CBUx,C529343
U7,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,C5366877
U8,SOT-23-5,1,TLV74311,C485147
U9,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354B,C39843328
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731 
