Designator,Mid X,Mid Y,Rotation,Layer
C1,111.2,-150.8,0.0,top
C10,110.118971,-129.8,270.0,top
C11,65.31,-123.9,180.0,top
C12,65.86,-122.2,180.0,top
C13,62.51,-121.85,180.0,top
C14,62.8125,-116.6,180.0,top
C15,79.35,-114.03,270.0,top
C16,63.9,-113.3,180.0,top
C17,70.5,-110.952651,90.0,top
C18,68.247349,-135.5,0.0,top
C19,67.8,-141.625,0.0,top
C2,99.95,-100.05,270.0,top
C20,67.8,-144.15,0.0,top
C21,68.2,-146.0,0.0,top
C22,75.62,-150.0,0.0,top
C23,74.82,-153.3,0.0,top
C24,64.64,-151.2,180.0,top
C25,81.75,-128.6,180.0,top
C26,81.4,-126.5,180.0,top
C27,81.4,-123.85,180.0,top
C28,81.4,-121.25,180.0,top
C29,81.4,-118.65,180.0,top
C3,102.25,-98.67,270.0,top
C30,89.35,-118.75,0.0,top
C31,89.35,-121.25,0.0,top
C32,89.35,-123.75,0.0,top
C33,89.35,-126.25,0.0,top
C34,100.05,-139.5,180.0,top
C35,100.05,-140.55,180.0,top
C36,99.95,-143.625,270.0,top
C37,190.95,-116.5035,90.0,top
C38,190.9,-119.9535,0.0,top
C39,163.433333,-131.883333,0.0,top
C4,107.95,-98.05,0.0,top
C40,141.65,-121.55,270.0,top
C41,137.2,-136.2,270.0,top
C42,140.5,-121.55,90.0,top
C43,163.441666,-134.433333,0.0,top
C44,148.15,-129.0,180.0,top
C45,134.75,-129.4,0.0,top
C46,139.383333,-121.55,270.0,top
C47,141.7,-135.95,90.0,top
C48,142.8,-121.55,270.0,top
C49,149.133333,-125.833333,180.0,top
C5,106.9,-99.9,270.0,top
C50,143.75,-135.98,90.0,top
C51,134.75,-134.1,0.0,top
C52,135.333333,-124.633333,270.0,top
C53,134.75,-128.35,0.0,top
C54,143.983333,-121.6,270.0,top
C55,148.0,-131.9,90.0,top
C56,140.6,-135.95,90.0,top
C57,152.483333,-119.883333,270.0,top
C58,133.55,-114.4,270.0,top
C59,122.95,-109.7,0.0,top
C6,109.45,-95.85,270.0,top
C60,150.1,-105.5,90.0,top
C61,168.25,-110.0035,270.0,top
C62,129.548333,-102.543333,180.0,top
C63,175.28,-102.2535,180.0,top
C64,156.593333,-142.483333,90.0,top
C65,117.2125,-142.3875,90.0,top
C66,121.8125,-147.7625,270.0,top
C67,134.2,-132.8,180.0,top
C68,114.6,-146.8,0.0,top
C69,105.05,-151.85,180.0,top
C7,105.35,-121.65,180.0,top
C70,110.8,-152.0,0.0,top
C71,74.27,-151.85,0.0,top
C72,98.818971,-123.072956,90.0,top
C73,105.325,-124.2,180.0,top
C74,141.045,-154.395,180.0,top
C8,105.35,-119.15,180.0,top
C9,105.3,-116.55,180.0,top
JCONT1,180.75,-150.3,270.0,top
JDBG1,116.3,-137.15,270.0,top
JDBG2,124.2,-131.5,90.0,top
